1676,1084,19:46:5
1786,1067,19:46:5
1794,1077,19:46:5
1732,1087,19:46:5
1797,1093,19:46:5
1827,1095,19:46:5
1715,1109,19:46:5
1791,1096,19:46:5
1813,1096,19:46:5
1712,1116,19:46:5
1783,1101,19:46:5
1773,1100,19:46:5
1136,1103,19:46:5
966,1002,19:46:5
988,966,19:46:5
927,933,19:46:5
1008,952,19:46:5
1008,932,19:46:5
1076,992,19:46:5
1463,1054,19:46:5
1448,1043,19:46:5
1378,1063,19:46:5
1459,1035,19:46:5
1459,1027,19:46:6
1213,1083,19:46:6
1143,1117,19:46:6
1131,1089,19:46:6
1093,1100,19:46:6
1139,1090,19:46:6
1152,1083,19:46:6
1091,1067,19:46:6
1143,1081,19:46:6
1138,1064,19:46:6
1089,1069,19:46:6
1154,1069,19:46:6
1144,1055,19:46:6
1096,1040,19:46:6
1065,982,19:46:6
987,674,19:46:6
773,339,19:46:6
802,92,19:46:6
795,96,19:46:6
746,180,19:46:6
826,36,19:46:6
812,73,19:46:6
762,169,19:46:6
825,36,19:46:6
811,74,19:46:6
759,160,19:46:6
825,24,19:46:6
807,88,19:46:6
744,164,19:46:6
659,168,19:46:6
595,221,19:46:7
542,277,19:46:7
631,203,19:46:7
598,271,19:46:7
532,342,19:46:7
472,489,19:46:7
420,597,19:46:7
396,635,19:46:7
452,596,19:46:7
416,612,19:46:7
395,666,19:46:7
460,604,19:46:7
427,632,19:46:7
392,669,19:46:7
462,702,19:46:7
432,827,19:46:7
410,872,19:46:7
479,852,19:46:7
445,850,19:46:7
418,866,19:46:7
483,836,19:46:7
426,838,19:46:7
418,863,19:46:7
484,832,19:46:7
424,833,19:46:7
474,908,19:46:7
562,909,19:46:7
497,916,19:46:7
469,920,19:46:7
552,901,19:46:7
470,912,19:46:8
476,934,19:46:8
540,912,19:46:8
656,944,19:46:8
709,970,19:46:8
775,996,19:46:8
704,942,19:46:8
707,972,19:46:8
847,1035,19:46:8
1135,1062,19:46:8
1198,1017,19:46:8
1263,975,19:46:8
1204,983,19:46:8
1204,996,19:46:8
1256,963,19:46:8
1175,948,19:46:8
1209,966,19:46:8
1262,931,19:46:8
1188,941,19:46:8
1204,950,19:46:8
1266,917,19:46:8
1189,913,19:46:8
1203,932,19:46:8
1281,925,19:46:8
1241,963,19:46:8
1268,988,19:46:8
1338,957,19:46:8
1239,970,19:46:8
1268,981,19:46:8
1325,957,19:46:8
1256,969,19:46:9
1268,986,19:46:9
1325,958,19:46:9
1331,883,19:46:9
1407,768,19:46:9
1476,693,19:46:9
1373,717,19:46:9
1407,680,19:46:9
1497,632,19:46:9
1352,684,19:46:9
1426,651,19:46:9
1491,607,19:46:9
1367,631,19:46:9
1425,565,19:46:9
1503,515,19:46:9
1338,582,19:46:9
1449,550,19:46:9
1518,528,19:46:9
1366,583,19:46:9
1450,563,19:46:9
1516,532,19:46:9
1365,590,19:46:9
1155,582,19:46:9
1141,527,19:46:9
1049,566,19:46:9
1116,546,19:46:9
1141,529,19:46:9
985,581,19:46:9
821,630,19:46:9
858,629,19:46:9
753,613,19:46:10
799,596,19:46:10
858,604,19:46:10
749,599,19:46:10
815,584,19:46:10
841,584,19:46:10
735,598,19:46:10
787,594,19:46:10
683,542,19:46:10
560,570,19:46:10
624,526,19:46:10
641,499,19:46:10
546,543,19:46:10
531,516,19:46:10
470,470,19:46:10
412,527,19:46:10
444,481,19:46:10
475,463,19:46:10
394,519,19:46:10
438,495,19:46:10
453,473,19:46:10
402,524,19:46:10
449,504,19:46:10
371,507,19:46:10
254,486,19:46:10
187,450,19:46:10
174,436,19:46:10
239,434,19:46:10
186,438,19:46:10
167,409,19:46:10
245,425,19:46:11
179,416,19:46:11
176,411,19:46:11
241,426,19:46:11
186,428,19:46:11
163,406,19:46:11
226,417,19:46:11
177,420,19:46:11
165,401,19:46:11
240,433,19:46:11
179,405,19:46:11
165,402,19:46:11
228,416,19:46:11
173,405,19:46:11
176,396,19:46:11
225,418,19:46:11
177,414,19:46:11
179,388,19:46:11
225,409,19:46:11
187,418,19:46:11
171,392,19:46:11
249,421,19:46:11
179,397,19:46:11
183,398,19:46:11
248,422,19:46:11
181,403,19:46:11
177,394,19:46:11
237,454,19:46:11
173,458,19:46:11
178,452,19:46:11
210,453,19:46:12
168,455,19:46:12
180,442,19:46:12
216,436,19:46:12
185,439,19:46:12
171,426,19:46:12
194,429,19:46:12
180,437,19:46:12
177,429,19:46:12
207,417,19:46:12
183,422,19:46:12
193,428,19:46:12
196,414,19:46:12
178,419,19:46:12
185,417,19:46:12
212,433,19:46:12
192,438,19:46:12
198,417,19:46:12
226,428,19:46:12
178,426,19:46:12
181,400,19:46:12
212,410,19:46:12
187,425,19:46:12
180,403,19:46:12
211,414,19:46:12
192,425,19:46:12
182,406,19:46:12
206,423,19:46:12
