2019csb1067;the big bang theory;m;95;2
2019csb1160;cristiano ronaldo;m;85;11
2018csera008;John f kennedy;m;65;45
2019eeb1139;michael;m;94;9
2019eeb1181;dwayne michael;m;85;5
2019csb1111;united kingdom;m;80;8
2016csz0003;World War I;m;90;54
2019csb1094;eminem;m;70;8
2019EEB1184;united states;m;70;9
2019EEB1184;world war ii;m;90;1
2019eeb1172;abrahm lincoln;m;80;9
2018csera009;The Big Bang Theory;f;75;96
2016csz0004;eminem;F;85;26
2016csz0004;Barack obama;F;40;31
2019csb1109;the beatles;m;70;4
2019csb1097;cristiano ronaldo;m;70;1
2019csb1111;michael jackson;m;60;2
2016csz0004;japan;F;85;38
2019csb1063;india;m;70;6
2019csb1074;tupac shakur;m;85;3
2019csb1067;john f kennedy;m;80;15
2019csb1050;miley;m;80;5
2019csb1097;list of highest grossing films;m;90;10
2019csb1117;tupac shakur;m;90;18
2019csb1076;united kingdom;m;85;7
2019eeb1169;canada;m;95;2
2019eeb1150;freddie;m;100;6
2019chb1050;eminem;m;98;8
2018cseps006;Harry Potter;m;75;115
2016csz0003;Adolf Hitler;M;80;24
2019csb1109;william shakespeare;m;50;3
2019csb1109;World war II;m;70;3
2016csz0004;India;F;80;19
2013csz0003;game of thrones;m;80;95
2019csb1060;eminem;m;95;4
2019csb1092;lady gaga;m;90;9
2019csb1074;Lionel Messi;m;96;4
2019eeb1181;darth;m;80;4
2019csb1092;christano;m;74;4
2019csb1117;miley cyrus;m;80;11
2019csb1076;september 11;m;90;4
2019eeb1150;kanye west;m;70;4
2019eeb1169;australian;m;80;5
2018CSEPS006;Eminem;F;80;120
2016csz0003;London;m;85;49
2019eeb1139;rihanna;m;80;4
2019csb1060;michael jordan;m;85;3
2019csb1094;the beatles;m;95;4
2019csb1084;kim;m;85;4
2019csb1084;steve;m;90;5
2016csz0004;Johnny Depp;F;75;44
2018CSEPS006;John F Kennedy;F;75;64
